"Function"	"A1HF"	"A1LF"	"A2HF"	"A2LF"	"B1HF"	"B1LF"	"B2HF"	"B2LF"	"C1HF"	"C1LF"	"C2HF"	"C2LF"
"sequence-specific double-stranded DNA binding [GO:1990837]"	5	31	6	0	16	1	33	11	11	22	27	38
"sequence-specific mRNA binding [GO:1990825]"	0	2	0	0	1	0	2	2	1	4	1	4
"Ser(Gly)-tRNA(Ala) hydrolase activity [GO:0043908]"	29	33	27	88	40	65	34	74	48	20	48	36
"serine 3-dehydrogenase activity [GO:0031132]"	0	0	0	0	0	0	0	2	0	0	0	0
"serine binding [GO:0070905]"	1	3	1	0	4	0	2	1	1	5	2	5
"serine C-palmitoyltransferase activity [GO:0004758]"	0	0	0	0	0	0	0	0	1	0	0	0
"serine hydrolase activity [GO:0017171]"	0	0	0	0	0	0	1	0	1	0	0	0
"serine O-acetyltransferase activity [GO:0009001]"	40	45	22	106	76	70	39	90	60	22	56	44
"serine-pyruvate transaminase activity [GO:0004760]"	0	1	0	0	1	0	1	1	0	2	1	1
"serine-tRNA ligase activity [GO:0004828]"	49	75	45	153	97	128	84	154	90	47	78	87
"serine-type aminopeptidase activity [GO:0070009]"	4	3	3	3	3	3	3	3	3	8	5	3
"serine-type carboxypeptidase activity [GO:0004185]"	4	7	2	25	5	12	4	18	3	6	8	7
"serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]"	245	369	231	785	485	581	301	713	438	162	346	393
"serine-type endopeptidase activity [GO:0004252]"	587	1046	513	1718	1218	1365	889	1629	970	605	1045	1069
"serine-type endopeptidase inhibitor activity [GO:0004867]"	6	55	14	6	28	5	57	23	19	58	54	44
"serine-type exopeptidase activity [GO:0070008]"	0	3	1	0	1	1	1	0	0	1	1	1
"serine-type peptidase activity [GO:0008236]"	166	209	130	441	262	327	215	390	254	174	250	236
"serotonin:sodium symporter activity [GO:0005335]"	1	1	0	0	0	0	1	0	0	1	0	2
"serum response element binding [GO:0010736]"	0	2	0	0	1	0	0	1	1	0	0	0
"SH2 domain binding [GO:0042169]"	1	4	0	1	5	0	7	2	2	9	7	9
"SH3 domain binding [GO:0017124]"	16	164	14	5	64	3	132	16	18	168	105	138
"SHG alpha-glucan phosphorylase activity [GO:0102499]"	114	167	96	306	227	222	161	297	198	93	185	211
"shikimate 3-dehydrogenase (NADP+) activity [GO:0004764]"	41	68	36	145	83	112	62	132	72	33	78	73
"shikimate kinase activity [GO:0004765]"	48	68	38	164	97	114	65	129	83	33	82	68
"short-chain carboxylesterase activity [GO:0034338]"	0	1	0	0	0	0	0	0	0	0	1	0
"sialate 4-O-acetylesterase activity [GO:0106331]"	0	1	0	1	0	1	0	1	0	0	0	0
"sialate 9-O-acetylesterase activity [GO:0106330]"	0	1	0	1	0	1	0	1	0	0	0	0
"sialate O-acetylesterase activity [GO:0001681]"	24	34	22	41	33	31	31	34	38	37	35	29
"sialic acid binding [GO:0033691]"	0	1	0	0	1	0	1	0	1	0	0	1
"sialic acid transmembrane transporter activity [GO:0015136]"	0	1	0	0	1	0	1	0	0	0	0	0
"sialyltransferase activity [GO:0008373]"	2	17	1	1	3	1	10	8	5	13	12	9
"siderophore transmembrane transporter activity [GO:0015343]"	6	7	6	7	7	7	8	8	7	8	9	7
"siderophore uptake transmembrane transporter activity [GO:0015344]"	0	0	0	0	0	0	0	0	0	0	1	0
"sigma factor activity [GO:0016987]"	660	855	544	1985	1193	1474	818	1780	1043	476	938	964
"sigma factor antagonist activity [GO:0016989]"	15	26	18	65	37	57	25	68	31	10	36	36
"signal recognition particle binding [GO:0005047]"	0	2	0	0	3	0	6	0	2	7	5	6
"signal sequence binding [GO:0005048]"	1	1	1	1	1	1	1	2	1	1	1	0
"signaling adaptor activity [GO:0035591]"	3	9	6	3	5	3	12	3	4	16	13	14
"signaling receptor activity [GO:0038023]"	4	61	11	3	29	1	59	15	14	65	53	60
"signaling receptor binding [GO:0005102]"	17	90	14	1	43	5	75	21	19	81	79	71
"signaling receptor complex adaptor activity [GO:0030159]"	1	22	3	0	12	2	14	4	4	16	17	16
"signaling receptor inhibitor activity [GO:0030547]"	1	1	0	0	0	0	0	1	0	0	0	1
"single base insertion or deletion binding [GO:0032138]"	0	0	0	0	0	0	1	0	0	1	0	0
"single guanine insertion binding [GO:0032142]"	0	1	0	0	0	0	1	0	0	1	0	1
"single thymine insertion binding [GO:0032143]"	0	1	0	0	0	0	1	0	0	1	0	1
"single-strand selective uracil DNA N-glycosylase activity [GO:0017065]"	1	1	1	1	1	1	1	1	1	2	2	2
"single-stranded DNA 5'-3' exodeoxyribonuclease activity [GO:0045145]"	0	1	0	0	0	0	0	0	0	1	0	0
"single-stranded DNA binding [GO:0003697]"	222	310	179	618	365	481	294	554	300	170	313	350
"single-stranded DNA endodeoxyribonuclease activity [GO:0000014]"	1	1	1	1	1	1	1	1	1	0	1	1
"single-stranded DNA helicase activity [GO:0017116]"	1	3	0	0	0	0	5	1	1	7	8	4
"single-stranded RNA binding [GO:0003727]"	58	2734	41	17	599	17	1789	105	212	2656	1659	1392
"single-stranded telomeric DNA binding [GO:0043047]"	1	5	0	0	6	0	5	2	1	6	7	10
"siRNA binding [GO:0035197]"	0	1	0	0	0	2	1	2	0	1	2	1
"sirohydrochlorin cobaltochelatase activity [GO:0016852]"	18	20	17	55	45	39	22	51	36	6	33	27
"sirohydrochlorin ferrochelatase activity [GO:0051266]"	1	2	0	3	1	2	1	2	1	0	2	1
"site-specific DNA-methyltransferase (adenine-specific) activity [GO:0009007]"	321	372	244	776	542	653	373	740	474	215	472	455
"site-specific DNA-methyltransferase (cytosine-N4-specific) activity [GO:0015667]"	14	20	14	38	35	26	29	48	29	14	30	38
"site-specific endodeoxyribonuclease activity, specific for altered base [GO:0016890]"	0	1	0	0	0	0	1	1	0	0	1	1
"site-specific recombinase activity [GO:0009009]"	0	0	0	2	1	2	0	2	1	0	3	0
"SMAD binding [GO:0046332]"	0	15	3	0	4	0	15	4	6	15	8	15
"small conductance calcium-activated potassium channel activity [GO:0016286]"	2	9	0	0	5	0	4	4	1	9	7	9
"small GTPase binding [GO:0031267]"	25	228	41	1	94	6	204	43	56	217	182	195
"small molecule binding [GO:0036094]"	10	29	14	38	35	29	26	44	24	21	25	34
"small protein activating enzyme binding [GO:0044388]"	0	1	0	0	0	0	1	0	1	1	0	1
"small ribosomal subunit rRNA binding [GO:0070181]"	37	62	36	115	71	90	58	113	67	31	57	51
"smoothened binding [GO:0005119]"	0	1	0	0	0	1	1	0	0	1	1	0
"sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity [GO:0102420]"	0	1	0	0	0	0	2	0	0	1	0	0
"sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity [GO:0052591]"	5	10	4	6	8	7	7	5	4	8	6	5
"SNAP receptor activity [GO:0005484]"	4	13	3	0	7	0	14	5	4	13	18	13
"SNARE binding [GO:0000149]"	0	9	3	0	5	0	11	4	5	7	9	9
"snoRNA binding [GO:0030515]"	2	2	2	0	1	0	3	1	1	5	5	4
"snRNA binding [GO:0017069]"	0	1	0	0	0	0	3	0	1	3	3	1
"sodium channel activity [GO:0005272]"	3	23	4	0	15	0	16	7	8	18	17	18
"sodium channel inhibitor activity [GO:0019871]"	1	1	1	0	0	0	2	1	1	2	1	3
"sodium channel regulator activity [GO:0017080]"	2	8	1	0	4	0	4	2	3	9	4	7
"sodium ion binding [GO:0031402]"	28	39	26	61	48	38	39	59	41	17	36	37
"sodium ion transmembrane transporter activity [GO:0015081]"	18	37	22	93	49	59	35	68	42	29	43	44
"sodium-dependent multivitamin transmembrane transporter activity [GO:0008523]"	1	0	0	0	3	0	2	0	0	0	1	0
"sodium-dependent organic anion transmembrane transporter activity [GO:0043250]"	0	1	0	0	0	0	0	0	0	1	0	0
"sodium-independent organic anion transmembrane transporter activity [GO:0015347]"	0	0	1	0	0	0	0	1	0	1	1	1
"sodium:bicarbonate symporter activity [GO:0008510]"	0	2	0	0	0	0	1	0	0	2	0	2
"sodium:dicarboxylate symporter activity [GO:0017153]"	0	0	0	0	0	0	0	1	0	0	0	0
"sodium:inorganic phosphate symporter activity [GO:0015319]"	0	1	0	0	1	0	1	0	0	1	1	0
"sodium:iodide symporter activity [GO:0008507]"	0	1	0	0	1	0	0	0	0	0	0	0
"sodium:malonate symporter activity [GO:0044668]"	0	0	0	2	1	1	0	1	3	0	1	1
"sodium:phosphate symporter activity [GO:0005436]"	98	147	87	252	192	206	139	267	162	79	169	176
"sodium:proton antiporter activity [GO:0015385]"	4	20	5	1	13	2	19	3	2	13	25	20
"solute:proton antiporter activity [GO:0015299]"	54	104	43	171	114	125	96	178	108	75	96	90
"solute:proton symporter activity [GO:0015295]"	0	1	0	0	0	0	1	0	0	0	0	0
"somatostatin receptor activity [GO:0004994]"	2	5	1	0	3	0	4	2	2	6	1	5
"sorbitol-6-phosphate 2-dehydrogenase activity [GO:0009010]"	1	1	0	2	0	4	1	3	2	1	0	2
"sour taste receptor activity [GO:0033040]"	0	0	0	0	0	0	0	1	0	0	1	0
"spectrin binding [GO:0030507]"	1	11	3	0	6	0	7	3	4	9	8	6
"spermidine binding [GO:0019809]"	0	1	0	0	0	0	1	0	0	0	1	0
"spermidine synthase activity [GO:0004766]"	4	8	4	17	12	16	6	14	12	7	12	5
"spermine synthase activity [GO:0016768]"	1	10	0	0	5	0	8	2	5	5	9	4
"sphingolipid binding [GO:0046625]"	0	1	0	0	0	0	0	0	1	0	0	0
"sphingolipid delta-4 desaturase activity [GO:0042284]"	0	2	0	0	0	0	0	1	0	3	1	2
"sphingomyelin phosphodiesterase activity [GO:0004767]"	2	2	0	0	0	0	2	2	0	5	4	6
"sphingomyelin phosphodiesterase D activity [GO:0050290]"	0	3	1	0	0	0	0	1	1	0	1	0
"sphingomyelin transfer activity [GO:0140338]"	0	0	0	0	0	0	1	0	0	0	1	0
"sphingosine N-acyltransferase activity [GO:0050291]"	0	0	0	0	0	0	0	0	0	0	1	0
"sphingosine-1-phosphate phosphatase activity [GO:0042392]"	0	0	0	0	0	0	4	0	0	1	4	4
"sphingosine-1-phosphate receptor activity [GO:0038036]"	1	8	0	0	1	0	4	0	2	9	3	7
"squalene monooxygenase activity [GO:0004506]"	0	0	0	0	0	0	0	0	0	1	1	0
"squalene synthase activity [GO:0051996]"	1	1	1	2	1	1	1	2	1	1	1	2
"starch binding [GO:2001070]"	27	39	23	33	26	24	29	29	26	33	25	39
"starch synthase activity [GO:0009011]"	55	84	45	171	113	132	57	151	97	48	86	97
"STAT family protein binding [GO:0097677]"	0	3	0	0	1	0	1	0	0	2	2	1
"stearoyl-CoA 9-desaturase activity [GO:0004768]"	0	1	0	0	0	0	0	1	0	0	0	1
"stem cell factor receptor activity [GO:0005020]"	0	1	0	0	1	0	0	0	0	0	2	1
"stem cell factor receptor binding [GO:0005173]"	0	1	0	0	2	0	0	1	0	1	2	2
"steroid 11-beta-monooxygenase activity [GO:0004507]"	0	0	0	0	3	0	0	1	0	0	0	0
"steroid binding [GO:0005496]"	1	5	2	0	5	0	5	1	7	7	7	5
"steroid dehydrogenase activity [GO:0016229]"	0	1	0	0	0	0	1	1	0	0	0	0
"steroid hormone binding [GO:1990239]"	2	1	0	0	1	0	3	0	0	2	0	1
"steroid hormone receptor activity [GO:0003707]"	2	6	2	0	7	0	7	2	5	6	8	5
"steroid hormone receptor binding [GO:0035258]"	0	1	0	0	1	0	1	0	0	1	1	0
"steroid hydroxylase activity [GO:0008395]"	0	3	0	0	0	0	2	0	1	1	3	2
"sterol binding [GO:0032934]"	2	5	0	1	0	0	3	2	1	5	6	4
"sterol esterase activity [GO:0004771]"	0	3	0	0	1	0	1	0	0	3	2	5
"sterol transporter activity [GO:0015248]"	0	0	0	1	0	0	0	0	0	1	1	1
"store-operated calcium channel activity [GO:0015279]"	0	1	0	0	2	0	1	1	1	0	1	0
"strictosidine synthase activity [GO:0016844]"	0	4	1	0	1	0	2	1	0	3	0	3
"structural constituent of chromatin [GO:0030527]"	0	0	0	0	0	0	0	0	1	0	1	0
"structural constituent of cytoskeleton [GO:0005200]"	27	112	20	2	43	4	79	29	32	89	77	83
"structural constituent of egg coat [GO:0035804]"	0	2	0	0	1	0	3	0	1	1	1	0
"structural constituent of eye lens [GO:0005212]"	0	12	4	0	5	1	2	2	3	10	8	8
"structural constituent of muscle [GO:0008307]"	3	12	4	0	1	0	15	1	3	8	3	14
"structural constituent of myelin sheath [GO:0019911]"	0	0	0	0	2	0	0	0	0	0	1	0
"structural constituent of nuclear pore [GO:0017056]"	5	24	9	4	13	1	23	3	9	36	24	31
"structural constituent of postsynapse [GO:0099186]"	0	0	0	0	0	0	1	0	0	0	0	1
"structural constituent of postsynaptic actin cytoskeleton [GO:0098973]"	0	0	0	0	0	0	0	0	0	0	1	0
"structural constituent of presynaptic active zone [GO:0098882]"	0	0	0	0	0	0	1	0	0	2	1	1
"structural constituent of ribosome [GO:0003735]"	1344	2783	1177	3807	2752	3076	2407	3643	2203	1970	2662	2907
"structural constituent of skin epidermis [GO:0030280]"	0	0	0	0	0	0	1	0	0	1	2	0
"structural constituent of synapse [GO:0098918]"	0	0	0	0	1	0	0	0	0	0	0	0
"structural constituent of tooth enamel [GO:0030345]"	0	0	0	0	0	0	0	0	0	0	0	1
"structural constituent of virion [GO:0039660]"	10	103	6	1	36	1	79	20	31	108	54	82
"structural molecule activity [GO:0005198]"	345	1362	321	904	868	665	1027	1004	668	1052	1090	1296
"structural molecule activity conferring elasticity [GO:0097493]"	0	6	1	0	2	0	1	0	0	0	4	2
"succinate dehydrogenase (ubiquinone) activity [GO:0008177]"	3	4	2	3	2	2	3	4	2	3	2	3
"succinate dehydrogenase activity [GO:0000104]"	61	96	60	96	69	74	75	97	87	35	96	59
"succinate transmembrane transporter activity [GO:0015141]"	0	1	0	0	0	0	0	1	0	1	1	0
"succinate-CoA ligase (ADP-forming) activity [GO:0004775]"	8	12	10	12	9	14	14	12	8	10	12	9
"succinate-CoA ligase (GDP-forming) activity [GO:0004776]"	0	1	0	0	0	0	3	0	0	0	2	1
"succinate-semialdehyde dehydrogenase (NAD+) activity [GO:0004777]"	0	2	0	0	0	0	0	0	0	1	1	1
"succinate-semialdehyde dehydrogenase (NADP+) activity [GO:0036243]"	0	0	0	0	0	0	0	0	0	0	1	1
"succinyl-CoA:(R)-benzylsuccinate CoA-transferase activity [GO:0033877]"	0	0	0	0	0	0	1	0	0	0	0	0
"succinyl-diaminopimelate desuccinylase activity [GO:0009014]"	12	8	11	18	13	10	5	20	10	6	11	11
"succinyldiaminopimelate transaminase activity [GO:0009016]"	3	5	2	2	2	2	1	2	2	2	1	2
"sucrose alpha-glucosidase activity [GO:0004575]"	0	0	0	0	0	0	1	0	0	0	0	0
"sucrose phosphorylase activity [GO:0009018]"	1	3	1	2	0	5	1	3	4	0	2	0
"sucrose:proton symporter activity [GO:0008506]"	0	0	0	0	0	0	0	0	0	1	0	1
"sugar-phosphatase activity [GO:0050308]"	4	7	4	13	10	8	3	9	7	5	6	6
"sulfate adenylyltransferase (ATP) activity [GO:0004781]"	9	23	12	39	29	23	15	33	28	16	15	27
"sulfate binding [GO:0043199]"	0	0	0	0	0	0	0	0	1	0	0	0
"sulfate transmembrane transporter activity [GO:0015116]"	0	3	0	1	4	1	0	2	2	1	5	1
"sulfide:quinone oxidoreductase activity [GO:0070224]"	0	0	0	0	0	0	0	0	0	1	0	0
"sulfiredoxin activity [GO:0032542]"	0	1	0	0	0	0	1	0	0	0	1	0
"sulfite reductase (ferredoxin) activity [GO:0050311]"	2	1	1	3	1	1	2	4	1	1	2	1
"sulfite reductase (NADPH) activity [GO:0004783]"	1	6	1	15	3	12	1	15	1	2	1	4
"sulfite reductase activity [GO:0016002]"	1	1	1	1	1	1	1	1	1	0	1	0
"sulfolactate sulfo-lyase activity [GO:0034010]"	0	1	0	1	2	0	0	3	0	0	1	0
"sulfonylurea receptor activity [GO:0008281]"	1	7	2	0	2	0	7	2	3	9	10	12
"sulfotransferase activity [GO:0008146]"	11	156	13	11	64	9	102	17	39	98	78	81
"sulfur carrier activity [GO:0097163]"	1	1	2	3	1	1	1	1	1	0	0	0
"sulfur dioxygenase activity [GO:0050313]"	0	1	0	0	0	0	0	0	0	1	0	1
"sulfur reductase activity [GO:0033796]"	0	1	0	0	0	0	0	1	0	0	0	0
"sulfuric ester hydrolase activity [GO:0008484]"	213	296	185	618	356	375	276	481	286	206	289	350
"sulfurtransferase activity [GO:0016783]"	93	144	88	342	211	257	140	319	175	64	167	156
"SUMO activating enzyme activity [GO:0019948]"	0	1	1	0	0	0	2	1	1	3	2	2
"SUMO binding [GO:0032183]"	0	1	0	0	2	0	1	0	1	3	2	1
"SUMO ligase activity [GO:0061665]"	0	0	0	0	0	0	0	0	0	2	0	0
"SUMO polymer binding [GO:0032184]"	0	1	0	0	0	0	1	0	0	1	0	0
"SUMO transferase activity [GO:0019789]"	4	8	1	0	3	2	6	1	3	6	8	4
"SUMO-specific endopeptidase activity [GO:0070139]"	0	0	0	0	0	0	0	0	0	0	1	0
"SUMO-specific isopeptidase activity [GO:0070140]"	1	1	0	0	2	0	2	0	0	1	2	0
"supercoiled DNA binding [GO:0097100]"	0	1	0	0	2	0	1	0	0	1	1	1
"superoxide dismutase activity [GO:0004784]"	16	25	13	50	28	38	23	50	29	21	27	29
"superoxide reductase activity [GO:0050605]"	3	3	4	19	8	14	8	11	9	3	4	7
"superoxide-generating NAD(P)H oxidase activity [GO:0016175]"	1	2	0	0	2	0	3	1	1	4	4	2
"superoxide-generating NADPH oxidase activator activity [GO:0016176]"	2	6	0	0	3	0	4	2	2	3	9	5
"suramin binding [GO:0043924]"	0	0	0	0	1	0	1	0	0	0	0	1
"symporter activity [GO:0015293]"	345	443	262	745	521	593	452	692	461	259	491	460
"synaptic receptor adaptor activity [GO:0030160]"	1	0	0	0	0	0	0	0	1	2	1	0
"syndecan binding [GO:0045545]"	0	0	0	0	0	0	0	2	0	1	0	1
"syntaxin binding [GO:0019905]"	2	15	2	0	8	0	11	2	4	17	13	5
"syntaxin-1 binding [GO:0017075]"	0	7	1	0	3	0	2	3	0	2	3	4
"syntaxin-3 binding [GO:0030348]"	0	0	0	0	1	0	0	0	0	0	0	0
"tachykinin receptor activity [GO:0004995]"	0	2	0	0	3	0	3	0	0	5	5	4
"tagatose-6-phosphate kinase activity [GO:0009024]"	32	34	27	75	58	63	34	91	51	10	52	43
"tagatose-bisphosphate aldolase activity [GO:0009025]"	3	5	3	7	10	4	4	5	7	1	7	2
"tagaturonate reductase activity [GO:0009026]"	10	14	15	26	21	30	14	20	12	8	18	12
"talin binding [GO:1990147]"	0	1	0	0	0	0	0	0	0	0	0	0
"TAP1 binding [GO:0046978]"	0	0	0	0	0	0	0	0	0	1	0	0
"TAP2 binding [GO:0046979]"	0	2	0	0	0	0	1	0	0	2	1	1
"tapasin binding [GO:0046980]"	0	0	0	0	0	0	0	0	0	1	0	0
"tartrate dehydrogenase activity [GO:0009027]"	0	0	0	0	0	0	0	0	1	0	0	0
"Tat protein binding [GO:0030957]"	0	0	0	0	1	0	1	1	0	1	0	1
"tau protein binding [GO:0048156]"	0	2	1	0	1	0	2	0	1	2	4	1
"tau-protein kinase activity [GO:0050321]"	0	4	1	0	2	1	5	0	1	4	5	2
"taurine:sodium symporter activity [GO:0005369]"	0	3	2	0	2	0	2	0	1	1	0	4
"TBP-class protein binding [GO:0017025]"	0	4	5	0	5	0	6	0	1	8	8	4
"telethonin binding [GO:0031433]"	0	0	0	0	0	0	1	0	0	0	0	0
"telomerase activity [GO:0003720]"	0	0	0	0	1	0	1	0	0	0	2	1
"telomerase inhibitor activity [GO:0010521]"	0	2	0	1	0	0	2	0	0	2	2	1
"telomerase RNA binding [GO:0070034]"	1	4	0	0	2	0	4	0	0	3	5	4
"telomerase RNA reverse transcriptase activity [GO:0003721]"	0	2	0	2	2	1	1	2	1	1	5	1
"telomeric D-loop binding [GO:0061821]"	0	0	0	0	0	0	0	0	0	1	0	0
"telomeric DNA binding [GO:0042162]"	0	9	4	0	3	0	7	0	2	7	6	7
"temperature-gated cation channel activity [GO:0097604]"	0	2	0	0	0	0	1	0	0	1	0	0
"temperature-gated ion channel activity [GO:0097603]"	0	1	0	0	0	0	0	1	0	0	1	0
"tetraacyldisaccharide 4'-kinase activity [GO:0009029]"	5	7	6	6	6	6	7	6	6	7	6	6
"tetrahydrodipicolinate N-acetyltransferase activity [GO:0047200]"	10	9	4	21	12	18	9	23	12	2	6	10
"tetrahydrofolyl-poly(glutamate) polymer binding [GO:1904493]"	0	0	0	0	0	0	0	0	0	0	0	1
"tetrahydrofolylpolyglutamate synthase activity [GO:0004326]"	86	131	60	255	161	195	101	208	135	67	146	138
"TFIID-class transcription factor complex binding [GO:0001094]"	1	1	0	0	0	0	2	0	0	3	2	2
"TFIIIC-class transcription factor complex binding [GO:0001156]"	0	1	0	0	0	0	2	0	0	3	1	2
"thiamin-triphosphatase activity [GO:0050333]"	0	0	0	0	0	0	0	0	0	0	0	1
"thiaminase activity [GO:0050334]"	8	9	9	15	10	14	14	14	11	7	17	9
"thiamine binding [GO:0030975]"	28	39	21	94	53	56	32	79	50	12	53	32
"thiamine diphosphokinase activity [GO:0004788]"	30	42	22	100	55	58	35	82	53	15	56	35
"thiamine pyrophosphate binding [GO:0030976]"	382	580	367	1188	662	829	523	1052	609	313	555	657
"thiamine transmembrane transporter activity [GO:0015234]"	19	25	15	59	40	47	17	54	28	12	35	30
"thiamine-phosphate diphosphorylase activity [GO:0004789]"	20	39	20	63	40	51	33	43	42	16	30	32
"thiamine-phosphate kinase activity [GO:0009030]"	5	6	5	6	6	6	6	7	6	7	7	7
"thiazole synthase activity [GO:1990107]"	7	11	9	20	12	19	13	16	10	6	11	9
"thiocyanate peroxidase activity [GO:0036393]"	0	1	1	0	3	0	2	0	1	0	0	4
"thioesterase binding [GO:0031996]"	0	1	0	0	2	0	1	0	1	1	2	1
"thiol-dependent deubiquitinase [GO:0004843]"	24	160	22	4	67	4	139	31	33	150	128	141
"thiolester hydrolase activity [GO:0016790]"	37	56	32	110	81	95	51	108	53	24	54	67
"thiomorpholine-carboxylate dehydrogenase activity [GO:0047127]"	0	2	0	0	0	0	0	0	0	0	0	0
"thiopurine S-methyltransferase activity [GO:0008119]"	0	1	0	0	0	0	2	0	0	1	0	0
"thioredoxin peroxidase activity [GO:0008379]"	4	6	5	8	6	9	7	8	6	5	5	6
"thioredoxin-disulfide reductase activity [GO:0004791]"	24	65	28	93	54	70	54	81	42	42	53	46
"thiosulfate sulfurtransferase activity [GO:0004792]"	12	9	9	22	17	13	9	17	18	6	17	5
"thiosulfate transmembrane transporter activity [GO:0015117]"	0	1	0	0	0	0	0	0	0	1	1	0
"threonine aldolase activity [GO:0004793]"	0	2	0	0	0	1	0	1	0	0	1	0
"threonine synthase activity [GO:0004795]"	31	54	30	112	64	80	48	102	52	27	53	49
"threonine-phosphate decarboxylase activity [GO:0048472]"	20	19	26	69	49	42	31	57	44	6	45	25
"threonine-tRNA ligase activity [GO:0004829]"	62	111	52	204	122	157	95	194	93	64	113	111
"threonine-type endopeptidase activity [GO:0004298]"	6	16	3	6	13	4	24	8	3	16	15	12
"thrombin-activated receptor activity [GO:0015057]"	0	1	0	0	0	0	2	1	0	0	1	1
"thrombospondin receptor activity [GO:0070053]"	0	1	0	0	0	0	0	1	0	1	1	1
"thromboxane A2 receptor binding [GO:0031870]"	0	0	0	0	1	0	0	0	0	0	0	0
"thymidine kinase activity [GO:0004797]"	14	16	12	40	19	28	16	35	17	7	22	18
"thymidine phosphorylase activity [GO:0009032]"	17	34	10	51	21	44	25	54	15	10	18	23
"thymidylate kinase activity [GO:0004798]"	13	21	11	63	31	47	27	52	33	10	25	24
"thymidylate synthase (FAD) activity [GO:0050797]"	21	28	20	61	41	49	34	59	32	15	29	26
"thymidylate synthase activity [GO:0004799]"	21	25	20	71	31	47	25	68	34	19	24	39
"thyroid hormone binding [GO:0070324]"	0	1	1	0	0	0	0	1	0	0	1	0
"thyroid hormone receptor binding [GO:0046966]"	0	5	1	0	3	0	3	0	1	3	6	4
"thyroid hormone transmembrane transporter activity [GO:0015349]"	0	5	0	0	2	0	4	0	0	3	5	2
"thyroid-stimulating hormone receptor activity [GO:0004996]"	1	2	1	0	1	0	0	1	0	0	1	1
"thyrotropin-releasing hormone activity [GO:0008437]"	0	2	0	0	1	0	1	0	0	1	2	2
"thyrotropin-releasing hormone receptor activity [GO:0004997]"	0	1	1	0	1	0	1	0	0	1	1	1
"thyrotropin-releasing hormone receptor binding [GO:0031531]"	0	0	0	0	0	0	0	0	0	0	0	1
"thyroxine 5'-deiodinase activity [GO:0004800]"	1	3	0	2	1	0	4	1	1	1	1	0
"TIR domain binding [GO:0070976]"	0	0	0	0	0	0	0	0	0	0	1	1
"titin binding [GO:0031432]"	1	0	0	0	1	0	3	0	0	3	1	1
"tocopherol cyclase activity [GO:0009976]"	8	11	3	39	13	25	9	32	10	12	12	20
"Toll-like receptor 2 binding [GO:0035663]"	0	0	0	0	0	0	1	0	0	1	0	0
"Toll-like receptor 4 binding [GO:0035662]"	0	0	0	0	0	0	1	0	0	1	0	0
"Toll-like receptor binding [GO:0035325]"	0	3	2	0	1	0	1	2	0	2	1	1
"TORC2 complex binding [GO:1904841]"	0	0	0	0	1	0	0	0	1	0	0	0
"toxic substance binding [GO:0015643]"	15	17	10	35	29	38	20	27	30	11	26	19
"toxin activity [GO:0090729]"	2	9	4	11	7	9	7	8	7	1	11	16
"toxin transmembrane transporter activity [GO:0019534]"	1	3	1	1	1	1	3	1	1	3	1	2
"toxin-antitoxin pair type II binding [GO:0097351]"	2	3	2	4	2	3	2	3	2	0	2	1
"TPR domain binding [GO:0030911]"	0	1	0	0	0	0	0	0	0	0	0	0
"trace-amine receptor activity [GO:0001594]"	0	3	1	1	2	0	3	0	0	3	2	2
"TRAIL binding [GO:0045569]"	0	2	0	0	1	0	0	0	0	0	1	1
"trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity [GO:0047115]"	0	1	0	0	0	0	1	0	0	1	2	0
"trans-2-enoyl-CoA reductase (NAD+) activity [GO:0050343]"	2	0	1	2	6	0	3	3	6	0	2	0
"trans-2,3-dihydro-3-hydroxy-anthranilate isomerase activity [GO:0102943]"	0	0	0	0	1	0	0	1	0	0	0	0
"trans-aconitate 2-methyltransferase activity [GO:0030798]"	7	5	1	14	8	4	4	10	8	4	6	6
"trans-permethrin hydrolase activity [GO:0102209]"	1	0	0	0	0	0	0	0	0	0	0	0
"transaminase activity [GO:0008483]"	451	673	378	1314	827	1009	530	1183	747	356	701	736
"transcription coactivator activity [GO:0003713]"	7	72	17	0	31	2	55	19	17	63	63	74
"transcription coactivator binding [GO:0001223]"	0	1	0	0	0	0	0	0	0	2	1	2
"transcription coregulator activity [GO:0003712]"	24	148	21	17	68	22	109	43	26	130	110	132
"transcription coregulator binding [GO:0001221]"	0	1	0	0	1	0	1	0	0	2	1	2
"transcription corepressor activity [GO:0003714]"	15	72	8	16	31	4	63	20	23	56	52	63
"transcription corepressor binding [GO:0001222]"	1	0	0	0	0	0	0	1	0	1	0	0
"transcription elongation regulator activity [GO:0003711]"	1	0	0	0	0	0	0	0	0	0	0	0
"transcription factor binding [GO:0008134]"	131	230	117	409	244	293	228	442	219	147	253	261
"transcription regulator inhibitor activity [GO:0140416]"	0	1	1	0	3	0	1	0	1	3	1	2
"transcription regulatory region sequence-specific DNA binding [GO:0000976]"	5	33	9	3	17	3	29	8	10	33	37	29
"transcription termination site sequence-specific DNA binding [GO:0001147]"	0	0	0	0	0	0	0	0	1	0	1	0
